listingName,producerID,bottler,originCountry,drinkType,typeCategory,age,abv,reviewLink,officialDesc,sourceLink,photo
24 Year Old Trinidad Rum Caroni 1998 for Lion's Whisky 10th Anniversary Edition,65c62d54876f110ab72a2906,Distilia,Trinidad and Tobago,Rum / Rhum,Molasses - Traditional Rum (Column Still),24,61.60%,https://88bamboo.co/blogs/rum-reviews/distilia-1998-caroni-trinidad-lions-whisky-10th-anniversary-edition-24-year-old-61-6-abv,,,
Caroni HTR 20 Year Old Batch 12,65c62d54876f110ab72a2906,That Boutique-y Rum Company,Trinidad and Tobago,Rum / Rhum,Molasses - Traditional Rum (Column Still),20,63.20%,,,,
Caroni 1997 22 Year Old ,65c62d54876f110ab72a2906,Master of Malt,Trinidad and Tobago,Rum / Rhum,Molasses - Traditional Rum (Column Still),22,61.60%,,,,
Caroni 1998 HTR Cask #2246,65c62d54876f110ab72a2906,Corman Collins,Trinidad and Tobago,Rum / Rhum,Molasses - Traditional Rum (Column Still),24,64.80%,,,,
1997 Caroni HTR Single Cask #880 Batch 7,65c62d54876f110ab72a2906,That Boutique-y Rum Company,Trinidad and Tobago,Rum / Rhum,Molasses - Traditional Rum (Column Still),23,61.10%,,,,
Caroni 1998 'Chaconia' Flora Rum Series for Catawiki,65c62d54876f110ab72a2906,Distilia,Trinidad and Tobago,Rum / Rhum,Molasses - Traditional Rum (Column Still),24,60.20%,,,,
Del Maguey Tobala Single Village Mezcal,65c62d54876f110ab72a2908,OB,Mexico,Mezcal,Blanco,,45.00%,https://88bamboo.co/blogs/tequila-mezcal-reviews/del-maguey-tobala-single-village-mezcal-45-abv,,,
Del Maguey Las Milpas,65c62d54876f110ab72a2908,OB,Mexico,Mezcal,Unknown,,46.00%,,Single Village expression is crafted by roasting ripe agave Espadin in an earthen horno carved into the granite hillside.,,
Del Maguey Wild Papalome,65c62d54876f110ab72a2908,OB,Mexico,Mezcal,Unknown,,45.00%,,"We met our first producer for our Vino De Mezcal series, Fernando Caballero Cruz five or six years ago at the annual Dia de los Magueyeros. He and his family live in the Mixteca Alta region. The trip in to Teozacoalco is about 5 hours on the worst rock and dirt road we have ever been on. The maguey Papalometl is named in Nahuatl for the butterfly (papalotl), Scientific name: agave Cupreata and looks like a giant Tobala. Distillation takes place in a stainless pot with a clay condensor and Carrizo (Mexican bamboo) tube. ",,
Del Maguey Crema de Mezcal,65c62d54876f110ab72a2908,OB,Mexico,Mezcal,Unknown,,40.00%,,"Crema de Mezcal, is a combination of Miel de Maguey (unfermented syrup of the roast agave) and Mezcal San Luis del Rio  double distilled from 100% mature agave Espadin, produced the original, natural 400-year-old, hand-crafted way.",,
Del Maguey San Luis Del Rio,65c62d54876f110ab72a2908,OB,Mexico,Mezcal,Unknown,,47.00%,,"One of the first two expressions that Del Maguey brought to the US in 1995. The scent of the old mango grove lingers in the air of the Red Ant Rive that flows through the village of the San Luis del Rio, offering a signature note to this expression.",,
"Del Maguey Espadín, Arroqueño & Mexicano",65c62d54876f110ab72a2908,OB,Mexico,Mezcal,Unknown,,50.00%,,Hand-crafted amidst a giant mango grove next to the river in the mountainous forests of the village of San Jose Rio Minas. Naturally fermented and twice distilled using a steel pot with clay condenser & bamboo tubing.,,
Del Maguey Santa Catarina Minas Minero,65c62d54876f110ab72a2908,OB,Mexico,Mezcal,Unknown,,50.00%,,"The unique quality of this Mezcal is that the family’s stills are made with clay with bamboo tubing. This Ancestral style of production, traditional from the village of Santa Catarina Mina, also involves the process of milling by hand, which allows for an exceptionally long wild fermentation. These elements give Minero Mezcal an unusual and funny balance of fruit and minerality.",,
Del Maguey Pechuga,65c62d54876f110ab72a2908,OB,Mexico,Mezcal,Pechuga,,49.00%,,Del Maguey Pechuga begins with Minero mezcal that has already been double distilled. A pechuga (chicken breast) is suspended in the still during the third distillation to balance the flavor.,,
Del Maguey Iberico,65c62d54876f110ab72a2908,OB,Mexico,Mezcal,Pechuga,,49.00%,,"Hand-crafted in the village of Santa Catarina Minas from a palenque with a long view of the flat, open, tree lined valley. Del Maguey Ibérico Mezcal is a celebratory mezcal in which wild mountain apples, plums, red plantains, pineapples, almonds and Ibérico ham are used in the third distillation.",,
Del Maguey Vida Clásico,65c62d54876f110ab72a2908,OB,Mexico,Mezcal,Unknown,,42.00%,,Del Maguey Vida Clásico is a hand-crafted alongside the tropical riverbed in the village of San Luis Del Rio where the Red Ant River flows. Naturally fermented and twice distilled in wood-fired copper stills.,,
Del Maguey Puebla,65c62d54876f110ab72a2908,OB,Mexico,Mezcal,Unknown,,40.00%,,"Del Maguey Puebla is a 40% Alc./Vol. edition Single Village Mezcal crafted through artisanal methods in a state-of-the-art palenque near the base of the volcano Popocatépetl in Axocopan, Puebla. Ripe agaves from Puebla are roasted underground, naturally fermented in the ocal environment rich with volcanic minerals and twitche distilled in small copper stills.",,
Del Maguey Vida de Muertos,65c62d54876f110ab72a2908,OB,Mexico,Mezcal,Unknown,,45.00%,,Del Maguey Vida de Muertos is a hand-crafted in the village of San Luis del Rio single Village Mezcal. Inspired by the batches of Mezcal that are distilled in autumn by the Paciano Cruz Nolasco family for Dia de los Muertos. Naturally fermented and twice distilled in wood-fired copper stills.,,
Del Maguey Chichicapa,65c62d54876f110ab72a2908,OB,Mexico,Mezcal,Unknown,,48.00%,,Chichicapa Mezcal is the classic archetype of a great Oaxacan broad valley mezcal and one of the most universally recognizable expression of Del Maguey. It’s made from local Espadín and twice-distilled in wood-fired copper pot stills.,,
Del Maguey Santo Domingo Albarradas,65c62d54876f110ab72a2908,OB,Mexico,Mezcal,Unknown,,48.00%,,"The beautiful Espadín from the Morales Luis family, one of the original families of Del Maguey, in the mountain village of Santo Domingo takes longer to mature in this unique mountain environment, giving it more time to develop flavorful sugars.",,
Del Maguey Tobalá ,65c62d54876f110ab72a2908,OB,Mexico,Mezcal,Unknown,,45.00%,,"Del Maguey Tobalá, produced in the mountains of Oaxaca by Rogelio Martinez Cruz, was the first wild varietal mezcal available in the US. The Tobalá agave grows naturally in the highest altitude canyons in the shade of oak trees, like truffles. It’s so small it takes about eight piñas to equal one Espadín piña.",,
Hakushu 18 Years Old Peated Malt 100th Anniversary Limited Edition,65c62d54876f110ab72a2909,OB,Japan,Whiskey / Whisky,Single Malt,18,48.00%,https://88bamboo.co/blogs/whisky-reviews/hakushu-18-peated-malt-100th-anniversary-limited-edition-48-abvv,"100th Anniversary Limited Edition. The Hakushu 18 Peated Malt is made up of carefully selected malt whiskies all aged for a minimum of 18 years in various casks, created in honor of Suntory Whisky's centenary. The Hakushu Distillery blenders work with peat, while softening the palate using the exceptional mountain water of the area, filtered through ancient granite rocks. Refined and elegant, this centennial Hakushu Peated Malt brings smoke that is less strong, never dominant and in typical Japanese style, more complex and gentle. The result is a spicy, peppery welcome, a slow wave of  smoke that deepens as it reveals its herbaceous notes and green fruity undertones.",,
Hakushu Japanese Forest Bittersweet Edition,65c62d54876f110ab72a2909,OB,Japan,Whiskey / Whisky,Single Malt,NAS,43.00%,https://88bamboo.co/blogs/whisky-reviews/reviewing-suntorys-super-hyped-yamazaki-smoky-batch-the-first-hakushu-japanese-forest-bittersweet-edition,,,
Macallan Harmony Collection Inspired by Rich Cacao,65c62d54876f110ab72a290f,OB,Scotland,Whiskey / Whisky,Single Malt,NAS,44.00%,https://88bamboo.co/blogs/whisky-reviews/macallan-the-harmony-collection-rich-cacao-44-abv,"Crafted from a harmonious combination of European and American oak casks, this rich single malt whisky pairs in perfect harmony with fine chocolates for an elevated tasting experience. ",,
Macallan Harmony Collection Inspired by Intense Arabica,65c62d54876f110ab72a290f,OB,Scotland,Whiskey / Whisky,Single Malt,NAS,44.00%,https://88bamboo.co/blogs/whisky-reviews/the-macallan-harmony-collection-inspired-by-intense-arabica-single-malt-44-abv,"The second edition in our limited annual release series, this special single malt exudes flavours of sweet oak, tiramisu and dark chocolate, and provides a delightful whisky and coffee pairing experience.",,
"Macallan Gran Reserva 2007 12 Years Old, Japan & Taiwan Release",65c62d54876f110ab72a290f,OB,Scotland,Whiskey / Whisky,Single Malt,12,45.60%,https://88bamboo.co/blogs/whisky-reviews/macallan-gran-reserva-12-year-old-45-6-abv-2007-japan-taiwan-release,,,
Macallan Colour Collection 12 Years Old,65c62d54876f110ab72a290f,OB,Scotland,Whiskey / Whisky,Single Malt,12,40.00%,https://88bamboo.co/blogs/whisky-reviews/the-macallan-colour-collection,"The oak casks used for The Macallan Colour Collection 12 Years Old are seasoned with sherry wine from Jerez de la Frontera, Spain. The youngest whisky in the Collection and the age statement with the lightest Natural Colour, this exceptional single malt exhibits a golden oak hue, with tasting notes of sweet oak, lemon and vanilla.",,
Macallan Colour Collection 15 Years Old,65c62d54876f110ab72a290f,OB,Scotland,Whiskey / Whisky,Single Malt,15,43.00%,https://88bamboo.co/blogs/whisky-reviews/the-macallan-colour-collection,"The oak casks used for The Macallan Colour Collection 15 Years Old are seasoned with sherry wine from Jerez de la Frontera, Spain.",,
Macallan Colour Collection 18 Years Old,65c62d54876f110ab72a290f,OB,Scotland,Whiskey / Whisky,Single Malt,18,43.00%,https://88bamboo.co/blogs/whisky-reviews/the-macallan-colour-collection,"The oak casks used for The Macallan Colour Collection 18 Years Old are seasoned with sherry wine from Jerez de la Frontera, Spain.",,
Macallan Colour Collection 21 Years Old,65c62d54876f110ab72a290f,OB,Scotland,Whiskey / Whisky,Single Malt,21,43.00%,https://88bamboo.co/blogs/whisky-reviews/the-macallan-colour-collection,"The oak casks used for The Macallan Colour Collection 21 Years Old are seasoned with sherry wine from Jerez de la Frontera, Spain.",,
Macallan Colour Collection 30 Years Old,65c62d54876f110ab72a290f,OB,Scotland,Whiskey / Whisky,Single Malt,30,43.00%,https://88bamboo.co/blogs/whisky-reviews/the-macallan-colour-collection,"The oak casks used for The Macallan Colour Collection 30 Years Old are seasoned with sherry wine from Jerez de la Frontera, Spain.",,
Macallan Harmony Collection Green Meadow,65c62d54876f110ab72a290f,OB,Scotland,Whiskey / Whisky,Single Malt,NAS,40.20%,https://88bamboo.co/blogs/whisky-reviews/the-macallan-harmony-collection-amber-meadow-green-meadow,"The Harmony Collection Green Meadow continues to embrace the re-use of natural materials in its packaging, creating beauty from resources at the end of their natural lives.​ To mark this deep connection with the land, discarded meadow cuttings have been given new life in this presentation box and bottle labels.",,
Macallan Harmony Collection Amber Meadow,65c62d54876f110ab72a290f,OB,Scotland,Whiskey / Whisky,Single Malt,NAS,44.20%,https://88bamboo.co/blogs/whisky-reviews/the-macallan-harmony-collection-amber-meadow-green-meadow,"This release embraces the re-use of natural materials in its packaging, creating beauty from resources at the end of their natural lives. To mark this deep connection with the land, discarded meadow cuttings have been given new life in this presentation box and bottle labels.",,
Yamazaki 12,65c62d54876f110ab72a290a,OB,Japan,Whiskey / Whisky,Single Malt,12,43.00%,https://88bamboo.co/blogs/whisky-reviews/yamazaki-12-year-old,"The Yamazaki Whisky is Suntory's flagship single malt whisky, from Japan’s first and oldest malt distillery. With a range of options from Yamazaki Distiller’s Reserve to 12, 18, and 25 years old, all of these prized whiskies contain carefully blended components aged in American, Spanish, and Japanese Mizunara oak.",,
Yamazaki 18 Years Old Mizunara 100th Anniversary Limited Edition,65c62d54876f110ab72a290a,OB,Japan,Whiskey / Whisky,Single Malt,18,48.00%,https://88bamboo.co/blogs/whisky-reviews/yamazaki-18-mizunara-100th-anniversary-limited-edition-48-abv,"100th Anniversary Limited Edition. This Yamazaki Mizunara Single Malt is comprised of meticulously selected malt whiskies all aged for a minimum of 18 years in solely Mizunara casks, created in honor of Suntory Whisky's centenary. The result showcases the rare, distinctive beauty of Mizunara oak, which is considered the signature “enhancer” of Yamazaki, providing unique Japanese character and elegance. We invite you to experience this distinct and elegant single malt whisky.",,
Yamazaki Smoky Batch The First,65c62d54876f110ab72a290a,OB,Japan,Whiskey / Whisky,Single Malt,NAS,43.00%,https://88bamboo.co/blogs/whisky-reviews/reviewing-suntorys-super-hyped-yamazaki-smoky-batch-the-first-hakushu-japanese-forest-bittersweet-edition,,,
The Botanist Gin,65c62d54876f110ab72a290b,OB,Scotland,Gin,London Dry / Classic,,46.00%,,"The Botanist Islay Dry Gin is created at the Bruichladdieh distillery. It is layered with 22 hand-foraged local island botanicals that includes nine berries, various barks, seeds & peels. Its botanicals are selectively collected from the island only between the seasons of March and October through a professional forager. The name was influenced by two local botanists who worked with former Master Distiller Jim McEwan to create the gin's recipe. A world-standard gin, at a perfect ABV of 46%.",,
Port Charlotte 2004,65c62d54876f110ab72a290b,Rest & Be Thankful Whisky Co.,Scotland,Whiskey / Whisky,Single Malt,11,55.40%,https://88bamboo.co/blogs/whisky-reviews/port-charlotte-11-years-old-bourbon-cask-rest-be-thankful-whisky-co-55-4-ib-2004-bottle-118-of-241-bottles,,,
Port Charlotte 2010 Oloroso Cask Finish,65c62d54876f110ab72a290b,OB,Scotland,Whiskey / Whisky,Single Malt,9,55.10%,https://88bamboo.co/blogs/whisky-reviews/port-charlotte-2010-9-years-old-olc-01-oloroso-cask-finish-55-1-abv-ob,,,
Bruichladdich The Classic Laddie,65c62d54876f110ab72a290b,OB,Scotland,Whiskey / Whisky,Single Malt,NAS,50.00%,,"Our signature bottling and the definitive Bruichladdich. Showcasing the classic, floral and elegant Bruichladdich house style, The Classic Laddie is made from 100% Scottish barley, trickle distilled, non-chill filtered and colouring free.",,
Port Charlotte 10 Year Old Heavily Peated,65c62d54876f110ab72a290b,OB,Scotland,Whiskey / Whisky,Single Malt,10,50.00%,,"Port Charlotte 10 year old is conceived, distilled matured and bottled only on Islay. Made from 100% Scottish barley, it is trickle distilled through tall, narrow-necked stills for a balanced, heathery style of barbeque smoke.",,
"Port Charlotte 2001, ""Enter the Dragon"", Rum Barrel Aged, bottled for Miles Whisky Bar 2nd Anniversary",65c62d54876f110ab72a290b,"Malt, Grain & Cane",Scotland,Whiskey / Whisky,Single Malt,21,55.70%,https://88bamboo.co/blogs/whisky-reviews/port-charlotte-2001-21-years-old-rum-barrel-aged-55-7-abv-bottled-by-malt-grain-cane-for-miles-whisky-bar-2nd-anniversary,"Port Charlotte is a heavily peated distillate from the Bruichladdich distillery, located in Islay. This Rum Cask is one of the earliest batches of distillate, that was produced from the recently revived distillery in May-2001.",,
Bruichladdich Rock'ndaal 02.1 Fèis Ìle 2023,65c62d54876f110ab72a290b,OB,Scotland,Whiskey / Whisky,Single Malt,16,50.00%,https://88bamboo.co/blogs/whisky-reviews/bruichladdich-rockndaal-02-1-port-charlotte-rockndaal-02-2,"Bruichladdich Rock'ndaal 02.1, the initial instalment of two exclusive festival releases, undergoes maturation in a combination of bourbon and Sauternes casks.",,
Port Charlotte Rock'ndaal 02.2 Fèis Ìle 2023,65c62d54876f110ab72a290b,OB,Scotland,Whiskey / Whisky,Single Malt,16,50.00%,https://88bamboo.co/blogs/whisky-reviews/bruichladdich-rockndaal-02-1-port-charlotte-rockndaal-02-2,"Concluding the exclusive Fèis Ìle duo is Port Charlotte Rock'ndaal 02.2. This remarkable expression is matured in a combination of refilled wine casks and sherry butts, allowing the rich influences of the wood and the wine to shape its character. Furthermore, its 16-year all-Islay maturation period imparts a profound depth to the versatile Port Charlotte liquid.",,
Octomore Edition 14.3 / 214.2 PPM,65c62d54876f110ab72a290b,OB,Scotland,Whiskey / Whisky,Single Malt,NAS,61.40%,https://88bamboo.co/blogs/whisky-reviews/bruichladdich-octomore-edition-14-3-214-2-ppm,"The Islay barley used in Octomore 14.3, grown just two miles from the distillery on Octomore farm, delivers a cereal-forward single malt – celebrating the profound impact of the natural, raw ingredient and the renaissance of the farming community who grew it.",,
Four Pillars Bloody Shiraz Gin,65c62d54876f110ab72a290c,OB,Australia,Gin,Contemporary,,37.80%,https://88bamboo.co/blogs/gin/four-pillars-bloody-shiraz-gin,,,
Four Pillars Yuzu Gin,65c62d54876f110ab72a290c,OB,Australia,Gin,Contemporary,,41.80%,,,,
Four Pillars Rare Dry Gin,65c62d54876f110ab72a290c,OB,Australia,Gin,Contemporary,,41.80%,,,,
Four Pillars Navy Strength Gin,65c62d54876f110ab72a290c,OB,Australia,Gin,Contemporary,,58.80%,,,,
Four Pillars Olive Leaf Gin,65c62d54876f110ab72a290c,OB,Australia,Gin,Contemporary,,43.80%,,,,
Love Potion #9,65c62d54876f110ab72a2910,OB,Singapore,Beer,Sour - All Others,NA,5.00%,https://88bamboo.co/blogs/craft-beer/two-eclipse-hops-rose-heavy-brewlander-sours-love-potion-9-sour-every-rose-has-its-thorn-sour,,,
Every Rose Has Its Thorn,65c62d54876f110ab72a2910,OB,Singapore,Beer,Sour - All Others,NA,5.00%,https://88bamboo.co/blogs/craft-beer/two-eclipse-hops-rose-heavy-brewlander-sours-love-potion-9-sour-every-rose-has-its-thorn-sour,,,
Where The Birds Don't Lay Eggs,65c62d54876f110ab72a2910,OB,Singapore,Beer,IPA - West Coast,NA,7.50%,https://88bamboo.co/blogs/craft-beer/brewlander-where-the-birds-don-t-lay-eggs-west-coast-ipa-7-5-abv,,,
Experimental Jasmine IPA,65c62d54876f110ab72a2910,OB,Singapore,Beer,IPA - All Others,NA,6.00%,https://88bamboo.co/blogs/craft-beer/brewlander-experimental-jasmine-ipa-6-abv,,,
Guanabana Gose,65c62d54876f110ab72a2910,OB,Singapore,Beer,Sour - Gose (All),NA,5.00%,https://88bamboo.co/blogs/craft-beer/guanabana-gose-brewlander-5-abv,,,
Love (Wild IPA),65c62d54876f110ab72a2910,OB,Singapore,Beer,IPA - American Style (All),NA,6.00%,,,,
Joy (Session IPA),65c62d54876f110ab72a2910,OB,Singapore,Beer,IPA - Session,NA,4.50%,,,,
Respect (Porter),65c62d54876f110ab72a2910,OB,Singapore,Beer,Porter - All Styles,NA,5.80%,,,,
XPA,65c62d54876f110ab72a2910,OB,Singapore,Beer,Pale Ale - All American Styles,NA,5.00%,,,,
Freedom,65c62d54876f110ab72a2910,OB,Singapore,Beer,Lager - Helles,NA,4.70%,,,,
Hendrick’s Flora Adora Gin,65c62d54876f110ab72a290e,OB,Scotland,Gin,Contemporary,,43.40%,https://88bamboo.co/blogs/gin/hendricks-flora-adora-gin-from-the-cabinet-of-curiosities-43-4,,,
Hendrick's Amazonia,65c62d54876f110ab72a290e,OB,Scotland,Gin,Contemporary,,43.40%,,,,
Hendrick's Orbium,65c62d54876f110ab72a290e,OB ,Scotland,Gin,Contemporary,,43.40%,,,,
Hendrick’s Neptunia,65c62d54876f110ab72a290e,OB,Scotland,Gin,Contemporary,,43.40%,,,,
Hendrick’s Lunar,65c62d54876f110ab72a290e,OB,Scotland,Gin,Contemporary,,43.40%,,,,
Hendrick’s Gin,65c62d54876f110ab72a290e,OB,Scotland,Gin,London Dry / Classic,,44.00%,https://88bamboo.co/blogs/gin/hendricks-gin-44-abv,,,
Jung One Korean Gin ,65c62d54876f110ab72a2915,OB,South Korea,Gin,Contemporary,,47.00%,https://88bamboo.co/blogs/gin/jung-one-korean-gin-47-abv,"Hand crafted in Korea, Jung one gin is made with the finest malt spirit and 4 additional Korea botanicals. Jung One means “Garden” in Korean, this name symbolize the many local botanicals that are used to make this small batch gin. Aside from the traditional ingredients used in gin like juniper berries, coriander seeds, cinnamon, and orange peels they also use local botanicals like perilla leaves, Korean sansho peppers, baby ginseng, and hand-picked leaves from the neighboring pine trees.",,
"Ki One ""Tiger"" Edition",65c62d54876f110ab72a2915,OB,South Korea,Whiskey / Whisky,Single Malt,13 months,56.20%,https://88bamboo.co/blogs/whisky-reviews/three-societies-ki-one-tiger-edition-korean-single-malt-56-2-abv,"The Society Collection consists of three animal editions - Tiger, Unicorn, and Eagle that symbolize the guards of the Three Societies Distillery. THe Society collection is made with all the same spirit distilled on 7th of July 2020. These three limited edition impressions are to showcase our maturation process of local single malt before the general release. We hope you can collect all three editions and enjoy tasting our progress.",,
"Ki One ""Eagle"" Edition",65c62d54876f110ab72a2915,OB,South Korea,Whiskey / Whisky,Single Malt,2,56.60%,https://88bamboo.co/blogs/whisky-reviews/three-societies-ki-one-eagle-edition-korean-single-malt-56-6-abv,The Eagle edition is the last whisky impression of the Society Collection and symbolizes the representative animal of the United States of America of America and is where our founder Bryan Do was born and raised.,,
"Ki One ""Unicorn"" Edition",65c62d54876f110ab72a2915,OB,South Korea,Whiskey / Whisky,Single Malt,1 year 9 months,56.60%,https://88bamboo.co/blogs/whisky-reviews/three-societies-distillery-ki-one-unicorn-edition-korean-single-malt-56-6-abv,"The Unicorn edition, is special to us as it is the representative animal of Scotland. This is where we get our traditional inspiration from and where our master distiller Andrew Shand was born. This impression is from our previous Tiger edition that has been matured for a longer period through the beautiful fall and harsh winter of Korea.",,
Ki One Batch 1 Virgin American Oak,65c62d54876f110ab72a2915,OB,South Korea,Whiskey / Whisky,Single Malt,NAS,40.00%,https://88bamboo.co/blogs/whisky-reviews/a-pair-of-koreas-first-single-malts-from-three-societies-ki-one-batch-1-ki-one-batch-2,,,
Ki One Batch 2 Virgin American Oak and Bourbon Cask,65c62d54876f110ab72a2915,OB,South Korea,Whiskey / Whisky,Single Malt,NAS,40.00%,https://88bamboo.co/blogs/whisky-reviews/a-pair-of-koreas-first-single-malts-from-three-societies-ki-one-batch-1-ki-one-batch-2,,,
Iron Balls Gin,65c62d54876f110ab72a2913,OB,Thailand,Gin,Contemporary,,40.00%,,"IRON BALLS GIN is meticulously made in South East Asia using a secret recipe of Asian inspired ingredients including; coconuts and fresh pineapples, with hints of juniper, hillside ginger and lemongrass. A boundary-breaking tropical gin with BALLS.",,
Peddlers Rare Eastern Gin,65c62d54876f110ab72a291a,OB,China,Gin,Contemporary,,45.70%,https://88bamboo.co/blogs/gin/peddlers-rare-eastern-gin,"Multiple awards from at the San Fran World Spirits Awards and CWSA. A fusion of eleven rare botanicals. Notes of Buddha’s hand, Sichuan pepper and lotus combine with juniper and other organic botanicals for a distinctive yet perfectly blended gin.",,
Peddlers Barrel Aged Gin,65c62d54876f110ab72a291a,OB,China,Gin,Barrel-Aged,,45.70%,,"Considered among the “best examples of its category” at the San Fran World Spirits Awards. Rested and refined for three months in French oak barrels that previously housed a Napa Valley pinot noir. With notes of smooth caramel, smoked Sichuan pepper, Pinot Noir grapes and fresh stone fruit.",,
Peddlers Salted Plum Gin,65c62d54876f110ab72a291a,OB,China,Gin,Sloe Gin,,25.00%,,"Peddlers Salted Plum Gin is a rare Chinese take on a traditional sloe gin. We take our award winning Shanghai Gin, infuse it with salted plum, mulberry, orange peel and osmanthus, and then age it for a month in Oloroso sherry barrels to give it a dry finish.",,
RWT Shiraz 2019,65c62d54876f110ab72a2918,OB,Australia,Wine (Grape wine),Red Wine - Single Varietal,N.A.,14.50%,,,,
Bin 28 Shiraz 2018,65c62d54876f110ab72a2918,OB,Australia,Wine (Grape wine),Red Wine - Single Varietal,N.A.,14.50%,,,,
Bin 28 Shiraz 2016,65c62d54876f110ab72a2918,OB,Australia,Wine (Grape wine),Red Wine - Single Varietal,N.A.,13.50%,,,,
Bin 28 Shiraz 2017,65c62d54876f110ab72a2918,OB,Australia,Wine (Grape wine),Red Wine - Single Varietal,N.A.,14.50%,,,,
Grandfather 20 Year Old Rare Tawny N.V.,65c62d54876f110ab72a2918,OB,Australia,Wine (Grape wine),"Fortified Wine (Incl. Port, Sherry)",N.A.,19.00%,,,,
Bin 389 Cabernet - Shiraz 2019,65c62d54876f110ab72a2918,OB,Australia,Wine (Grape wine),Red Wine - Single Varietal,N.A.,14.50%,,,,
Kanosuke Artist Edition #001 2019,65c62d54876f110ab72a2914,OB,Japan,Whiskey / Whisky,Single Malt,NAS,50.00%,https://88bamboo.co/blogs/whisky-reviews/single-malt-kanosuke-artist-edition-001-50-abv,,,
Kanosuke bottled for Modern Malt Whisky Market 2022,65c62d54876f110ab72a2914,OB,Japan,Whiskey / Whisky,Single Malt,NAS,61.50%,https://88bamboo.co/blogs/whisky-reviews/kanosuke-modern-malt-2022-single-cask-bourbon-barrel-61-5-abv,,,
